"Day","Title","Start","End","Facilitator/
Host camp","Location","Category","Vibes","Description","Comments","KID FRIENDLY","SEX POSITIVE","QUEER INCLUSIVE","ADULT ONLY","SOBER ONLY","Warning: Sensory content ","Warning: Triggering"
"Mon. 20 July","Hot sauna with icy fruits and popsicles!","0:00","23:59","Hot Sauna","Sunny Hills, grid square G21.","Food/Drinks","🐵 Kid-friendly · 🌈 Queer-inclusive","We will be serving icy stuff at random times. It’s up to the universe whether you get lucky or not.","Recurring: expanded to 5 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Postnörd","0:00","23:59","Socialen","Bison - South, grid square O22. Corner on Sunset Plaza","Crafting/Pimping/Arting","","Send your(other)self a message in form of postcard from Borderland. Capture the fleeting moment and extract it out before it vanishes. Come hangout at Socialen, we offer a relaxed space to settle in a reflect for a moment and write yourself or others about your current state of mind.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Co-created time capsules","0:00","0:00","JazzPrr","The time capsules will be placed in an open space in 4 different neighborhoods for co-creation. Stumble upon them or take your desired future message or trinket and ask another Borderling of they have seen where to forward them to the future.","Art/Installation","🐵 Kid-friendly · 😇 Sober · 🌈 Queer-inclusive · 🖤 Sex positive · 💥 Sensory content","Time capsules: portals to the past, filled with memories for future generations. Seal photographs, letters or trinkets — 4 capsules, one per cardinal direction, co-created and sealed by different neighborhoods at the end of this year's Borderland. In 2027 they'll be buried under permanent art, for future archaeologists or extraterrestrials to wonder what strange not-a-cult walked this land.","","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"Mon. 20 July","Handpan Jam","18:00","19:00","Lars & Teresa / Njorunn's Garden","Downtown, grid square M20.","Music/Performance/Show","🐵 Kid-friendly · 🌈 Queer-inclusive","Join us for a loose, relaxed jam in the garden. Bring an instrument or your voice and let’s make some music! We have a few handpans to loan to participants, so if you’ve ever wanted to try one out, this is your chance. We’ve built most of them ourselves, and are very excited to see them in other people’s hands! We also have some shakers and other fun  stuff for anyone who wants to jump in.","","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","People watching","9:00","11:00","Lazy camp","Bison - North, grid square P22. We have a 10m dome","Games/Play","🐵 Kid-friendly","Find a good spot anywhere and just sit back and people-watch while relaxing. It looks like a Borderland movie, doesn’t it?","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Open Mat","9:00","10:00","Tantric Trolls","Highlands, grid square N11. The Pink Tantric Troll on the big workshop tent","Yoga/Movement/Bodywork","🦍 Adults only","Start the day on the mat with others through primal play, contact improvisation, Brazilian jiu-jitsu or a combination of the three.
There is no facilitator and no fixed structure, just a shared space to explore, connect and move together. Whoever arrives first kicks things off with a five-minute Tabata.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Mon. 20 July","Doggy Day Care at Camp Slothenhive","9:30","13:30","Crow (Debbie) / Slothenhive","Lowlands, grid square Q13. An enclosed area with dog toys and shade.","Games/Play","🐵 Kid-friendly · 🦍 Adults only · 😇 Sober · 🌈 Queer-inclusive","If you want to leave your pooch for a few hours in a quiet campground to be watched by two volunteers, consider coming here.  It's hoped that people who leave their dogs also take a shift.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"Mon. 20 July","Meditation in the dome","9:30","10:00","Self-led / Spaceport","Lowlands, grid square P12. Dome by the tall pink temple, Lowlands","Yoga/Movement/Bodywork","😇 Sober","A place to meditate together in silence, and keep up your home practice, but in silent community. Do come along, first timers also welcome!","Recurring: expanded to 3 days (Mon. 20 July, Tue. 21 July, Wed. 22 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Daily Jungian Dream matrix","10:00","10:45","Robin Bäckström / Feromonia","Swamp, grid square T18. @Feromonia, look for glamping  bell tent with black chimney","Workshop/Class","😇 Sober","Curious on Jungian philosophy and your unconscious? A dream matrix is a space where we share nightly dreams, in order to open up your unconscious and rediscover nightly dreams you'd forgotten. After the matrix there'll be a short teaching and sharing. See insta @BLdreammatrix","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Thrift happens","10:00","17:00","Kakan, Sickan and Akselito / Java the hut","Highlands, grid square M09.","Crafting/Pimping/Arting","","Where one playa’s cast-offs become your festival glow-up. Curated rags, questionable choices, and impulsive entertainment included. Come dig through the treasures, leave looking fabulous.","Recurring: expanded to 3 days (Mon. 20 July, Tue. 21 July, Wed. 22 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","The Orgone Accumulator building workshop","10:00","16:00","Mårten and Lova / Nest & Twigs","Bison - South, grid square P24. By the tree house in Bison","Crafting/Pimping/Arting","","Come and build in our workshop area where we will construct orgone accumulators. We will provide the drawings, tools, material and guidance needed. The accumulators will be built in a proper Reichian way in order to accumulate orgone the most effective way possible.
Once the accumulators are built, we will gather Orgone at Borderland and invite participants to be soaked in it, showered with it, and possibly transformed by it.","Recurring: expanded to 2 days (Mon. 20 July, Tue. 21 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Post Build Yoga with Little Bear","10:00","11:00","Little Bear / Spaceport","Lowlands, grid square P12. Dome by the tall pink temple, Lowlands","Yoga/Movement/Bodywork","😇 Sober","Tools down, and gear change with a vinyasa sprinkled with an eclectic mix of Tai Chi, Qi Gong, somatics and post-build week stand up comedy; we don’t take anything too seriously.","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Painting Stuff Ultra-Black","10:30","12:30","Oskar / A Camp has no Name","Arctic chill, grid square O06.","Crafting/Pimping/Arting","","Come and paint stuff with ultra-black paint! You won’t see any internal shadows on anything you paint. Absorbs ca 99% of all light. There will be some stuff you can paint if you don’t have any yourself.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Daily Drop-In with the Conflict Resolution Team","10:30","11:30","The Conflict Resolution Team","Sunny Hills, grid square J20. Outside Clown Police HQ","Party/Gathering","🐵 Kid-friendly · 🌈 Queer-inclusive","Stuck in a conflict? Meet the CRT any day. We don’t take sides or decide for you. We’re here to listen, offer mediation tools, and help find ways to coexist. Stop by to chat, learn, or get support!

Conflicts should be solved between those involved, but if that isn’t possible, you can turn to us!","Recurring: expanded to 7 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Circling/relatefulness/Surrendered Leadership","10:30","12:00","Depends on the day, see program board by SG / Secret Garden","Downtown, grid square M21. Big white star shaped tent in the Secret Garden","Workshop/Class","🦍 Adults only · 😇 Sober","One never has anything to do with another person without holding something of that person's life in ones hands.

If meditation is an art of being
Circling is an art of being-with

Come explore who you are in the meeting with others and the incredible richness of human connection in all its flavours.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"Mon. 20 July","Yoga with Lil'L","10:30","11:30","Lil'L / Socialen","Bison - South, grid square O22. Sunset Plaza","Yoga/Movement/Bodywork","","Wake up your body and shake off the dust with a playful vinyasa flow. Together we'll move, breathe, stretch, and energise ourselves for the day ahead. Grounding, uplifting, and open to all levels.

Bring a yoga mat or towel and a water bottle.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Soft Landing Circle","10:30","11:30","Erica Velour / Trantric Trolls","Highlands, grid square N11. At Penta Plaza","Workshop/Class","🦍 Adults only","First day of a magical week full of experiences. I invite you to slow down, tune into yourself, and softly land in your body and the sweet present moment. Feel what's present, what you're longing for, and meet the magic of Borderland from a centered, curious, and grateful space.","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Mon. 20 July","Full Spectrum Meditation","10:59","11:45","Alexander Walter / The Observatory","Swamp, grid square Q19.","Workshop/Class","😇 Sober","A special meditation event using 4 types of meditation, in sequential order, to facilitate an experience of awakening. First anapana — calm abiding on the breath. Second vipassana — insight meditation, scanning the body for awareness. Third tantric meditation — moving through the chakras, circulating vital energy. Lastly a pointing-out instruction from the Mahamudra tradition, inviting you to recognize your innermost being: pure consciousness. Welcome!","Recurring: expanded to 2 days (Mon. 20 July, Wed. 22 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Spin Wooly Yarn","11:00","12:00","Domile, Tutte, Matilde / Foyaé Villa Hutlös","Eastern Slope, grid square V17. Look for the wool! Follow the smell!","Crafting/Pimping/Arting","🐵 Kid-friendly · 🌈 Queer-inclusive","Want to try something new but old? Then come and have fun with spinning yarn on a drop spindle, exactly as our ancestors did it! Starts 11 am
**Warnings**
Sensory: raw smell of sheep 
Addictive: chance of adopting a new hobby","","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Ethiopian coffee ceremony","11:00","12:00","Habesha","Swamp, grid square T18. Look for the Ethiopian flag!","Food/Drinks","🐵 Kid-friendly · 😇 Sober","Experience an Ethiopian coffee ceremony! You don’t need to be there from the start, come when you can during the ceremony and enjoy a cup!","Recurring: expanded to 2 days (Mon. 20 July, Wed. 22 July); shown on: Mon. 20 July","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","ZUMBA at JAM CAMP !","11:00","12:00","SWICKY / Jam camp","Lowlands, grid square R13. Behind Space Port , red white circus tent, lowlands, easy to find.","Yoga/Movement/Bodywork","🐵 Kid-friendly","Get your sweat on with Jutlandias best Zumba instructor, Fun and good exercise - LETS GOOO !!!","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Dolce far niente","11:00","12:00","Lazy camp","Bison - North, grid square P22. Big 10m diameter dome","Games/Play","🐵 Kid-friendly","Master the magical art of doing nothing! No goals, no to-dos just you, a comfy
spot, and sweet, glorious idleness. Hug a tree, wiggle your toes, daydream
wildly. It’s fun, it’s freeing, it’s fabulously unproductive. Permission to laze:
granted!","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","toast for a toast","11:00","12:30","Slothenhive","Lowlands, grid square Q13. next to sweetspot and spaceport","Food/Drinks","🐵 Kid-friendly · 😇 Sober · 🌈 Queer-inclusive","Tell me who, in your eyes, deserves a toast. Is it your mom? The ants by the third tree on the left? Paris Hilton? Because you're thinking gratefully about other beings, you get a fresh, delicious piece of toast from me. :)","Recurring: expanded to 2 days (Mon. 20 July, Tue. 21 July); shown on: Mon. 20 July","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Toothpaste tasting","11:00","12:00","The morning paste society","Eastern Slope, grid square U21.","Crafting/Pimping/Arting","🐵 Kid-friendly · 🌈 Queer-inclusive","Make brushing your teeth a fun and absurd way of getting to know new people and new toothpastes! We take you to a trip around the world's most exquisite toothpastes. 
BYOT (Bring your own toothbrush -and pimp it at our craft booth!-) 
No toothbrush ? Pass by for a shot of mouthwash you stinky hippie ! 
Fun toothpastes ? Bring them all !","Recurring: expanded to 7 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Melt Into Her: Yin Yoga","11:00","13:00","Nyx / The Sapphic Pond","Sunny Hills, grid square J21. Follow the lesbian flag and the fairy lights to the water, the cluster of tents around the Pond with the bell tent at the heart.","Yoga/Movement/Bodywork","😇 Sober · 🌈🌈 Queer-focused","Melt into the soft hours with a slow, juicy yin yoga practice for femmes loving femmes (butches & nb folks included). Long-held poses, deep breath, gentle touch, come home to your body by the water. All levels, all bodies. Daily at 11, bring yourself, leave puddly 🐸","Recurring: expanded to 8 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","The Jewellery Market","11:00","21:00","","This magical jewellery market will pop up at random times and at random places around the playa. If you’re supposed to, you’ll find it.","Weird shit/Other","🐵 Kid-friendly","All jewellery: $Free.99
I bring jewellery from all over the world to this magical little pop-up! Come pick the piece(s) that speak to you and leave a kind word for the next person. Walk off with your new jewellery and a mystery note from the person before you.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Sharing Circle","11:30","13:00","Kalle Grill / Shimmering by the forest edge","Arctic chill, grid square O06. In the Arctic Chill, close to Pamper Plaza, behind the camp ""Women who supports women""","Workshop/Class","😇 Sober","Break out of the circle of battling for the ears of others. Brief introduction to sharing and supportive listening, then diving in. One circle or several, depending on numbers.","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Pranayama & Meditation 30 min","11:40","12:10","Lil'L / Socialen","Bison - South, grid square O22. Sunset Plaza","Yoga/Movement/Bodywork","","A quiet moment to arrive. Through traditional breathwork and meditation practices, we'll slow down, become present, and gently settle into ourselves before stepping into the day.

Open to all. Bring something comfortable to sit or lie on, and let your breath do the rest.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","How to say I'm sorry","12:00","12:30","Anton Grip / Cloud Cartel","Highlands, grid square P11.","Workshop/Class","","Remember that time someone hurt you but the way they acknowledged and talked to you afterwards made you feel warm and understood? In this workshop we dive deep into our human psychological needs to find the structure of reparing hurt feelings. Join this workshop to get better at saying ""I'm sorry""","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","House of SIN: Consent to Sin","12:00","13:30","Jonas Näslund / Club SIN","Bison - North, grid square N19. By the Shameless Plaza","Workshop/Class","🖤 Sex positive · 🌈 Queer-inclusive · 😇 Sober","Consent to Sin is a fun, welcoming Consent 101 workshop covering the foundations of consent in sex-positive spaces. Through theory and practical exercises, you'll build confidence in communication, boundaries, negotiation and saying both ""yes"" and ""no"" with clarity and respect.","","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Cosmic Cloud Café","12:00","13:30","Cosmic Cloud","Bison - North, grid square O22. Bison - Next to Sunset Plaza","Food/Drinks","","Enjoy chai, coffee, and cookies that taste like care, baked with love, served with presence and compassion. 
(There is a good chance that we will also serve coffee, etc outside our listed hours <3)","Recurring: expanded to 4 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Sufficiency talks","12:00","13:00","Göran / Event place","Sunny Hills, grid square J21. Event place (at Sunny Hills, behind the Clown Police HQ)","Workshop/Class","😇 Sober","How much is enough? Philosophical conversation for everyone!","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Black Lotus Yoga with PV","12:00","13:00","PV / Spaceport","Lowlands, grid square P12. Dome by the tall pink temple, Lowlands","Yoga/Movement/Bodywork","😇 Sober","Black Lotus is a vibrant and fluid vinyasa practice built to balance the two phases of the breath to encourage the vital force, pranam to circulate more openöly through the body.","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","The Bellybutton Fluff Donation Jar returns","12:01","11:59","Pernille & Babs / Alice the Malice in Wonderland","Wedge, grid square R20.","Weird shit/Other","","Got lint? Put your hairy bellybutton to work and donate that gloriously useless fluff to something even more useless. Stuff it in our Collection Jar and receive a Certificate of Donorship. Enough fluff = possible hamster sweater. Do your part for recycling. Multiple donations accepted.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Dreams Coming True Circle","12:15","13:45","Erica Velour / Tantric Trolls","Highlands, grid square N11. Penta Plaza","Workshop/Class","🦍 Adults only","A safe and playful space to ask for what you want and receive it, over and over again. An abundance of interactions and dreams coming true. Playful, interactive, juicy, fun, exciting!","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Mon. 20 July","Punch a hippie","12:15","13:30","Mikkel / The Rabbit Hole","Find us in the high lands. Look for string lights and lots of them (might not be on since it' day time). Or maybe just look for the guy in bright shorts who wants to fight you (lovingly of cause). There will be a sign saying The Rabbit Hole  (maybe square N12)","Yoga/Movement/Bodywork","😇 Sober","Open sparring for the hippie martial artist. Come set the week of with a little punch and a little kick. Let's do some boxing, muay thai or maybe some mma. Hoping that the space is fitting, or we might move to a green spot by the big lake. Bring your own equipment. Onlookers are welcome","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Ethiopian food - Injera","12:30","15:30","Habesha","Swamp, grid square T18. Look for the Ethiopian flag!","Food/Drinks","🐵 Kid-friendly · 😇 Sober","Welcome to enjoy Ethiopias national dish, injera! Vegan options are available 🇪🇹","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","Boot(y) Camp","12:30","13:30","BounceBunny and Pleasure P / The End of the Rainbow","Bison - North, grid square N20.","Weird shit/Other","🦍 Adults only · 💥 Sensory content","Bouncebunny b2b Pleasure!
A bootylicious workout/dance boot camp with special effects. Join us to get hot and sweaty! All body types welcome: big butts, small butts, no butts, goofy people, shy people, lazy people. Every kind of expression welcome!
But be open to good vibes only and getting swifty 💖""","","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"Mon. 20 July","Tiny bag check opening hours","13:00","14:00","tiny bag check hostess / back alley","in the barn by Lucifer's pit","Art/Installation","💥 Sensory content","Tiny bag check is open for you to claim what you checked last year. remember your claim check ticket!","","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"Mon. 20 July","12 step meeting (NA & AA)","13:00","14:00","Sabrine / Camp All Senses, No Sense","Eastern Slope, grid square W16. Look for the Tipi tent, AA sign and the chalkboard in front of the camp","Workshop/Class","🦍 Adults only · 😇 Sober","12 step meeting (recovery)","Recurring: expanded to 3 days (Mon. 20 July, Wed. 22 July, Fri. 24 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"Mon. 20 July","Improvisational theatre","13:00","14:00","Göran / Event place","Sunny Hills, grid square J21. Event place (at Sunny Hills, behind the Clown Police HQ)","Games/Play","","Learn and laugh :)","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Techno & training in the monkeybar","13:00","14:00","Philip / Flowzone monkeybar","Highlands, grid square M11. Highlands, Penta plaza (big flag) next to Chilldome","Yoga/Movement/Bodywork","😇 Sober","Do you know the feeling of wanting to give up? Learn how to repress your feelings and keep on going in this highly paced workout where the social stigma of giving up is the main driver for continuing.
(All levels are welcome. It’ll be fun.)","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Mon. 20 July","confess!","13:00","17:00","Timothy / K9 - Constellations","Downtown, grid square K21. in the dark dungeons of the church","Ritual/Ceremony","🚨 Triggering themes","You have sinned. It's ok. Unburden yourself from this weight and dump it all on an anonymous stranger that will host you. The one place where you, in full confidentiality, can admit your worst, release its grip over you and learn to live free. 

Offer your sins and a white rabbit might appear.","Recurring: expanded to 2 days (Mon. 20 July, Tue. 21 July); shown on: Mon. 20 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Mon. 20 July","Never lose your cup","13:00","16:00","Jelena / Mermaid Camp","Arctic chill, grid square L05.","Crafting/Pimping/Arting","🐵 Kid-friendly","Tired of losing your cup? In this drop-in workshop you can craft a band to hang your cup from your bag, belt, or neck, so it stays with you anywhere you go. You can personalize it so everyone can see it's yours.","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","30s Jazz & Neon Splash","13:00","16:00","celala & Mr black / Occult Oasis Pool Parties","Sunny Hills, grid square H22. At sunny hills, next to the water and the saunas","Party/Gathering","","Step through a portal to a reimagined past. We’re clashing the swing of the 1930s with the electricity of the future. Think Gramophone-glitch, brassy melodies, and syncopated beats that make the pool feel like a champagne bath.

Dust off your vintage swimwear, find your most eccentric goggles, and prepare for a high-society splash.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Sensy Floordance","13:00","14:00","JJ / Plutonia","Downtown, grid square M19.","Yoga/Movement/Bodywork","🦍 Adults only · 😇 Sober · 🌈 Queer-inclusive","Experience during this workshop the freedom of dancing sensually on the floor. The movements are based on moves out of strip clubs, but you do not dance to seduce, but rather for yourself, to sensitively experience what it is like to dance this way in a safe environment.","","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"Mon. 20 July","Circling/Relatefulness/Surrendered Leadership","13:00","14:30","Depends on the day, see program board by SG / Secret Garden","Downtown, grid square M21. Big white star shaped tent in the Secret Garden","Workshop/Class","🦍 Adults only · 😇 Sober","One never has anything to do with another person without holding something of that person's life in ones hands.

If meditation is an art of being
Circling is an art of being-with

Come explore who you are in the meeting with others and the incredible richness of human connection in all its flavours.","Recurring: expanded to 5 days (Mon. 20 July, Tue. 21 July, Thu. 23 July, Fri. 24 July, Sat.); shown on: Mon. 20 July","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
