"ID","How to find","Grid","Name","Neighbourhood","People","Area type","Size (m2)","Size other (m2)","Description","Part of JOMO?","Worth adding?","Category","DONE","How to find","","","","","",""
"25","Swamp, grid square S16","S16","Fire Brigade","Swamp","30","normal-camp","1041","545","Open fire space Monday, Tuesday and Wednesday.
Between 22 - 00. Music on yellow zone volume. 
Workshops during the day. Fire safety promotion. 
Safety is sexy!","25","1","","","","","","","","",""
"26","Sunny Hills, grid square G21","G21","Magic Banya Camping area","Sunny Hills","25","normal-camp","802","450","This is our Magic Banya camp, where we as a camp can charge our batteris and fill the needs of our camp members after our magic steam sessions. We have some work stations for kitchen, housing our Water cube that we use for thirsty Banya users as well as the loss of land which is slightly uneven. ","","","","","","","","","","",""
"32","Lowlands, grid square R12","R12","Hexology Art Project","Lowlands","0","sound-camp","109","100","Hexology is a magical, musical mashup experience.
Players enter our witchy den and learn the ways of magic.

All speakers are pointed inward and we will never play louder than a home stereo system.
If you place your project nearby, be prepared to hear many samples on repeat.","32","1","","","","","","","","",""
"33","Highlands, grid square O10","O10","Yggdrasil","Highlands","25","normal-camp","587","40","Yggdrasil we have a tipi and welcome you to host workshops in it. 

","","1","🧠 Workshop/Class","","Highlands, grid square O10","","","","","",""
"35","Arctic chill, grid square P06","P06","House of Glöd camp main tent","Arctic chill","25","normal-camp","311","0","Cozy shaded living room / kitchen with great people!","35","","","","","","","","","",""
"38","Muumin Valley, grid square F10","F10","Kishmastle Space Station","Muumin Valley","60","sound-camp","547","0","A spaced out sound camp","38","","","","","","","","","",""
"39","Highlands, grid square O12","O12","Low Effort Leftovers","Highlands","26","normal-camp","740","50","Come effortlessly in and join us in our lounge. This is a place to just be - while still looking at the vibrant life at BL. Also there is waffles!! ","","1","🍯 Food/Drinks","","Highlands, grid square O12","","","","","",""
"40","Swamp, grid square R17","R17","Wild Sacred Fire Sleeping","Swamp","8","normal-camp","243","0","Camping for Wild Sacred Fire next door","","","","","","","","","","",""
"43","Arctic chill, grid square P06","P06","Pamper Temple Dream","Arctic chill","0","public-offering","221","221","A space for pampering, massages, makeup, workshops (Crowned creatures crafitng headpieces dream), and just peace and rechargeing. Geodesic dome shaded tent.","43","1","","","","","","","","",""
"44","Lowlands, grid square R13","R13","Jam Camp","Lowlands","50","sound-camp","1250","450","Jam Camp
One cirkus tent 22*18 with lines/poles
Kitchen 5x8m, Bell tent, RV, 
Container and 50+ Happy Hippies.  ","44","1","","","","","","","","",""
"46","Arctic chill, grid square P06","P06","House of Glöd camping / sleeping","Arctic chill","25","normal-camp","305","50","Sleeping quarters of the House of Glöd.","","","","","","","","","","",""
"48","Arctic chill, grid square P06","P06","Sauna Caravan Dream + lounge","Arctic chill","0","public-offering","103","30","Cute little sauna plus lounge with hammock and sunbathing beds, plus space for clothes","","1","🫖 Care/Support/Pampering","","Arctic chill, grid square P06","","","","","",""
"50","Highlands, grid square M09","M09","The SeaLions Den ","Highlands","16","public-offering","706","50","Offering calm workshops as talks, breathwork, meditation and movement and a Teastand","","1","🦾 Yoga/Movement/Bodywork","","Highlands, grid square M09","","","","","",""
"51","Bison - North, grid square N21","N21","Secret Garden Camping","Bison - North","20","normal-camp","420","150","This is an uneven often wet area and does not allow camping on all spots that's why we take such a big area. It might also be shared with our neighbours.","","","","","","","","","","",""
"53","Downtown, grid square K18","K18","Cosmic Portal / F33 (Upstairs, attic)","Downtown","0","art","99","100","The Cosmic Portal is an immersive LED light installation (F33 project) in the Barn attic (upstairs).
It is shaped as a 8-meter circular portal suspended above the ground (4m) and is designed as a chill out space. 
There will be mattresses, pillows and blankets below.","53","1","","","","","","","","",""
"59","Lowlands, grid square Q12","Q12","Foxhole camping","Lowlands","40","normal-camp","1070","0","Foxhole camping for 43 people including some bigger bell tents and RVs. This is the m2 we used last year, adjusted up for a slightly bigger camp","","","","","","","","","","",""
"62","Wedge, grid square P20","P20","PORTal Camping and sillyness area","Wedge","10","normal-camp","400","10","The Camping area of the reality PORTal, we will also have theme days and add a tiny portAL to the neighbourhood.","","","","","","","","","","",""
"65","Bison - North, grid square O20","O20","GlitterTind Dreams","Bison - North","0","sound-camp","610","0","GlitterTind three dreams will be here. In the front The Garden, behind Dovregubbens Hall, on the side Trolltunga","65","1","","","","","","","","",""
"67","Downtown, grid square M21","M21","Secret Garden","Downtown","0","public-offering","1756","1647","Just a garden","67","1","","","","","","","","",""
"68","Sunny Hills, grid square J22","J22","Medical support RV - Magic Banya","Sunny Hills","2","normal-camp","24","9","This RV serves a medical support function as an extension of the Magic Banya Camp across Sunny Hills.
Required for safe storage of temperature-sensitive medication and medical equipment for multiple Magic Banya camp mates. Continuous power is needed for a small medical fridge.","","","","","","","","","","",""
"70","Bison - North, grid square P20","P20","GlitterTind Camping and Commonspace/Kitchen","Bison - North","40","normal-camp","1229","50","Some of this area the terrain is uneaven and not suiteble for putting up a tent so have added extra space for that

40 People
9 Campervans
1 Rv
25 Tents","","","","","","","","","","",""
"71","Swamp, grid square U16","U16","End of the Block Lounge (Stage and Audience area) and End of the Block Boutique","Swamp","50","public-offering","323","500","A performance camp and a small boutique here for the community and down to collaborate. We are active afternoon and early evening (family event on Wednesday). We have a light installation Loc TBF. Mosty veteran Borderlings. Camp has at least two small kids. Also veteran borderlings.

50 is audience ","71","1","","","","","","","","",""
"75","Lowlands, grid square Q11","Q11","Foxhole Public Area","Lowlands","0","sound-camp","200","175","The public space known as the Foxhole. Speaker direction is to the west,","75","1","","","","","","","","",""
"76","Lowlands, grid square R09","R09","Kidsville RVs A","Lowlands","20","normal-camp","705","0","Kidsville Camping area. Lots of family RVs. ","","","","","","","","","","",""
"77","Lowlands, grid square Q11","Q11","Silage Bales","Lowlands","0","other","26","40","Sound insulation","","","","","","","","","","",""
"78","Lowlands, grid square Q11","Q11","Container","Lowlands","0","other","14","14","Foxhole 20ft shipping container","","","","","","","","","","",""
"79","Lowlands, grid square Q11","Q11","Hay Bales","Lowlands","0","other","24","22","Sound insulation","","","","","","","","","","",""
"81","Swamp, grid square U15","U15","End of the Block Campng area","Swamp","15","normal-camp","656","600","This is where we will have our sleeping are, kitchen, common area and dressing room area. We will have 3 children (with more who will visit) in our camp. Still have `3+ campers possibly pending too. 

a  van a camper and a car are at camp with two more cars are in parking, too.","","","","","","","","","","",""
"82","Arctic chill, grid square P06","P06","Krusty's Playground","Arctic chill","0","public-offering","215","193","Pool, showers and potentially the bouncing castle.","","1","🦾 Yoga/Movement/Bodywork","","Arctic chill, grid square P06","","","","","",""
"83","Arctic chill, grid square P06","P06","Kamp Krusty","Arctic chill","8","normal-camp","258","181","The Krustiest place on earth!","","","","","","","","","","",""
"84","Lowlands, grid square Q11","Q11","Koslig Slutty Cafe","Lowlands","0","public-offering","41","40","Cosy slutty cafe
A popup in collaboration with Foxhole.","84","1","","","","","","","","",""
"87","Downtown, grid square K19","K19","Lucifer’s pit (upstairs and downstairs  around silo) ","Downtown","15","public-offering","149","0","An immersive satanic dreamscape in the silo featuring aerial sock-wrestling battles, crowd spectacle, and chaotic, participatory combat.
Fund33 project. 
","87","1","","","","","","","","",""
"89","Sunny Hills, grid square J22","J22","Warm Slug - Acid Aunties Nasty Uncles + Curios Cousins","Sunny Hills","10","normal-camp","183","0","","","","","","","","","","","",""
"90","Arctic chill, grid square N06","N06","The Germs","Arctic chill","11","normal-camp","248","16","A gaggle of germs bringing interactive art installations, workshops, big laughs and chill vibes.","","1","🎨 Art/Installation","","Arctic chill, grid square N06","","","","","",""
"92","Bison - North, grid square N20","N20","End of the Rainbow (Venue)","Bison - North","35","sound-camp","792","90","Soundcamp","92","","","","","","","","","",""
"93","Bison - North, grid square N21","N21","End of the Rainbow (camping)","Bison - North","35","normal-camp","697","10","ZZzzzZz","","","","","","","","","","",""
"94","Lowlands, grid square Q11","Q11","Floating Swing","Lowlands","0","public-offering","136","144","Somewhere between a playground and a daydream, this kinetic sculpture invites you to sit, sway… and maybe forget gravity for a while.

Designed for 1 to 3 people,  the piece takes the familiar language of a swing and teaches it to grow wings.

Above, vast translucent sails—part butterfly/part underwater creatures/part cosmos dancer—stretch nearly three meters wide, catching light like a whisper of dusk. Their burgundy organza shimmers with violet reflections, as if the sky itself had decided to rest for a moment.","","1","🎨 Art/Installation","","Lowlands, grid square Q11","","","","","",""
"95","Sunny Hills, grid square H20","H20","The Warm Slug Fires of anarchy","Sunny Hills","0","sound-camp","202","200","","95","","","","","","","","","",""
"96","Highlands, grid square O11","O11","The Seagulls Nest","Highlands","20","normal-camp","693","205","Radical self-entertainment, tiny art, and shade. Connected to dream-area across the fire road.
Squak.","","1","🎨 Art/Installation","","Highlands, grid square O11","","","","","",""
"97","Sunny Hills, grid square G19","G19","Bunny horse bar","Sunny Hills","13","public-offering","741","600","
https://dreams.theborderland.se/borderland/dreams-2026/cmmolt3ko00087hhz2frj4ut5?page=8&s=bunny&f=FUNDED","97","1","","","","","","","","",""
"98","Lowlands, grid square Q11","Q11","Foxhole backstage & kitchen & dining","Lowlands","0","normal-camp","109","320","Backstage area for Foxhole logistics, kitchen, dining for 45 foxes","","","","","","","","","","",""
"99","Sunny Hills, grid square J22","J22","Sleepy Banana","Sunny Hills","20","normal-camp","358","200","semi freecamping bartenders from the bunnyhorsebar

other = shit ground 

","","","","","","","","","","",""
"100","Lowlands, grid square Q09","Q09","Kidsville RVs B","Lowlands","26","normal-camp","933","70","Line of RV's.","","","","","","","","","","",""
"101","Lowlands, grid square Q11","Q11","RVs","Lowlands","0","normal-camp","198","0","Foxhole Camper vans ","","","","","","","","","","",""
"103","Lowlands, grid square Q11","Q11","Floating Swing","Lowlands","0","public-offering","43","45","Toys area. Some associated interactive items that can be used alongside the floating swing","","1","🦾 Yoga/Movement/Bodywork","","Lowlands, grid square Q11","","","","","",""
"106","Lowlands, grid square Q12","Q12","Bistro Francais","Lowlands","5","public-offering","88","32","A corner of Paris in the woods — wine, peanuts, and the art of l’Apéro.","106","1","","","","","","","","",""
"107","Highlands, grid square P10","P10","Bayt al-Noor","Highlands","0","art","61","61","Permanent art piece, Annie-Locke Scherer","","","","","","","","","","",""
"110","Highlands, grid square L12","L12","A S T R O T U R F - HYPERSTITION ","Highlands","30","normal-camp","908","200","","","","","","","","","","","",""
"111","Muumin Valley, grid square G09","G09","T H E  M O O N - HYPERSTITION","Muumin Valley","0","sound-camp","377","800","HYPERSTITION is going to the MOON and we are not coming back.","","1","🪼 Weird shit/Other","","Muumin Valley, grid square G09","","","","","",""
"113","Swamp, grid square Q19","Q19","Jousting Jesters sleeping area","Swamp","45","normal-camp","447","0","Part of the sleeping area for the Jousting Jesters. 

PS: I have checked with placement leads about the dotted line (nature reserve) and got the green light for the placement as its in the field and not the reserve","","","","","","","","","","",""
"114","Swamp, grid square Q19","Q19","Jousting Jesters ","Swamp","0","public-offering","382","450","Public offering and kitchen tent area. 

Our kitchen tent is 30 m2 + safety distance. Our main tent where we will hold workshops and talks is 40 m2. Additionally, we are bringing a 9m2 pavilion and making an outdoor space for hosting our turney.  
","114","1","","","","","","","","",""
"116","Lowlands, grid square P13","P13","Pink Parachute & Velvet Lounge + PP Kitchen","Lowlands","0","sound-camp","453","550","Queer-focused and inclusive events
Pink Parachute: Day Parties, workshops, weird happenings.
Velvet Lounge: a cozy place for uncanny relaxation","","1","🎸 Party/Gathering","","Lowlands, grid square P13","","","","","",""
"117","Sunny Hills, grid square I20","I20","The Grateful Grogg","Sunny Hills","0","public-offering","97","100","The grateful grogg bar and porch","117","1","","","","","","","","",""
"118","Sunny Hills, grid square J19","J19","grogg sleepers","Sunny Hills","8","normal-camp","91","0","Space for some groggers to sleep","","","","","","","","","","",""
"119","Lowlands, grid square Q13","Q13","Pink Parachute & Velvet Lounge Camping","Lowlands","28","normal-camp","297","50","Where the Pinkies who operate the Pink Parachute and Velvet Lounge live","","","","","","","","","","",""
"121","Lowlands, grid square Q13","Q13","Pink Parachute caravans","Lowlands","0","normal-camp","227","0","2 caravans and an RV for Pink Parachute","","","","","","","","","","",""
"123","Highlands, grid square O11","O11","Birds with a view (Seagulls)","Highlands","0","public-offering","354","420","A lighthouse to guide you safely home to harbour. 
A place to hang out & experience the view of the chaos below. 
Tiny art & big birds.
The period palace.
","","1","🎨 Art/Installation","","Highlands, grid square O11","","","","","",""
"124","Highlands, grid square M11","M11","Chilldome/Flowzone -","Highlands","0","public-offering","623","576","Chilldome and Monkeybars.
","124","","","","","","","","","",""
"128","Eastern Slope, grid square V18","V18","Fire Brigade Silent Camping","Eastern Slope","8","normal-camp","135","0","Silent camping are of The Fire Brigade.","","","","","","","","","","",""
"131","Sunny Hills, grid square J19","J19","DoET Sleeping","Sunny Hills","14","normal-camp","140","0","space for DoET to sleep, duh","","","","","","","","","","",""
"132","Power Hill, grid square J19","J19","Department of Energy & Transport, the DoET Group","Power Hill","15","normal-camp","294","0","we do Power, Transportation, Roads from our HQ, this place.","","","","","","","","","","",""
"134","Sunny Hills, grid square J20","J20","DoET Electric Vehicles, also Sleeping camp.","Sunny Hills","15","normal-camp","533","0","experimental area","","","","","","","","","","",""
"135","Bison - South, grid square O22","O22","Socialen Public offering","Bison - South","0","public-offering","147","270","Tent 50m2 + 5 m safety around.
Power info for both public offering + camp is stated in the camp-info.","135","","","","","","","","","",""
"136","Downtown, grid square K20","K20","DoET Parking","Downtown","0","other","375","0","Restricted area for DoET Vehicles only.","","","","","","","","","","",""
"139","Downtown, grid square L18","L18","[DoET] Transformer 1","Downtown","0","other","86","85","Angry pixies live here.
[infrastructure]","","","","","","","","","","",""
"140","Forest Cave, grid square J24","J24","Discotech Engineering Sleeping Camp ","Forest Cave","15","normal-camp","172","0","","","","","","","","","","","",""
"141",", grid square P20","P20","[DoET] Transformer 2 / east","","0","other","56","60","Angry pixies live here.","","","","","","","","","","",""
"142",", grid square L06","L06","[DoET] Transformer 3 - north","","0","other","43","45","Angry pixies live here.","","","","","","","","","","",""
"143","Highlands, grid square O13","O13","[DoET] Totem pole of Maxwell-Marconi-Fourier-Shannon","Highlands","0","other","12","12","It's a radio mast.","","","","","","","","","","",""
"144","Highlands, grid square O12","O12","Eld&Rötter Mystic Hammock Haven","Highlands","12","normal-camp","501","60","Come and hang, literally, in our wodden hammock dome. 
This year we will add some fire, both literally and figuratively. 
Grilled cheese sandwiches, for even more chill.","","1","🍯 Food/Drinks","","Highlands, grid square O12","","","","","",""
"145","Sunny Hills, grid square J20","J20","Clown Police HQ","Sunny Hills","6","other","142","12","Home of Clown Police and other Realities. 
","","1","","","Sunny Hills, grid square J20","","","","","",""
"146","Highlands, grid square L13","L13","A S T R O T U R F - HYPERSTITION ","Highlands","0","normal-camp","232","250","Common area & kitchen of Hyperstition camping. Including 15m stretch tent, hangout spaces etc.","","","","","","","","","","",""
"154","Highlands, grid square N11","N11","Tantric Trolls","Highlands","15","public-offering","770","400","Daytime vibes and trollish weirdness. Workshops, playful encounters, soft chaos and a camp built for connection, curiosity and wandering souls.

12*6m workshop tent facing the plaza - planing to have around 5-6 workshops daily.","154","1","","","","","","","","",""
"156","Lowlands, grid square Q12","Q12","Spaceport container + camping","Lowlands","40","public-offering","1222","350","Spaceport container + camping ","","","","","","","","","","",""
"160","Wedge, grid square S22","S22","DIvine DOugh + Touch Divine camping","Wedge","26","normal-camp","386","0","Divine Dough/ Touch Divine sleeping area","","","","","","","","","","",""
"161",", grid square R22","R22","","","0","other","1","0","","","","","","","","","","","",""
"164","Lowlands, grid square P13","P13","Sweet Spot Cafe","Lowlands","0","public-offering","137","120","The Sweet Spot Cafe","164","","","","","","","","","",""
"165","Lowlands, grid square Q12","Q12","The Tahinians","Lowlands","30","public-offering","600","84","We are a Tahini religion offering delicious Tahini goodies to those who want to be blessed by the Holy sesame. We will also be offering day parties and work shops. ","165","1","","","","","","","","",""
"166","Bison - South, grid square P22","P22","Mycelium","Bison - South","0","art","94","100","Light Installation by MariMur

https://dreams.theborderland.se/borderland/dreams-2026/cmnw0sxgm007ofq7od05za99i","166","1","","","","","","","","",""
"167","Bison - South, grid square P23","P23","Tea by the Sea dream","Bison - South","40","public-offering","162","160","A cute red teahouse with a view
Tent needs 10x16m

https://dreams.theborderland.se/borderland/dreams-2026/cmnoz89y50013mez1vx00qvrf","","1","","","","","","","","",""
"168","Bison - South, grid square Q23","Q23","Tea by the Sea Camp","Bison - South","40","normal-camp","1245","0","Camp supporting the dream of Tea by the Sea:

https://dreams.theborderland.se/borderland/dreams-2026/cmnoz89y50013mez1vx00qvrf

NOTE: Power requirements listed on ""Tea by the Sea dream"" entry.","168","1","","","","","","","","",""
"171","Lowlands, grid square P13","P13","Jam Camp x PP Container","Lowlands","0","other","20","24","Shared container","","","","","","","","","","",""
"176","Sunny Hills, grid square G21","G21","Hot Sauna","Sunny Hills","0","public-offering","81","50","Hot sauna 24/7","176","1","","","","","","","","",""
"180","Wedge, grid square S21","S21","The Goslings (SRC)","Wedge","16","normal-camp","480","80","This is the camping area for the Goslings 🦆 - the salt -addict humans who bring Salt Rock City 🧂","","","","","","","","","","",""
"181","Wedge, grid square R21","R21","Salt Rock City (SRC)","Wedge","0","public-offering","67","65","SALT ROCCK CITY 🧂 is the Borderland first (and only!) salt bar! Coming back to the BL for the 2nd year, because an extra pinch of salt makes life worth living! 🧂","181","1","","","","","","","","",""
"182","Wedge, grid square R21","R21","Goslings/SRC Kitchen","Wedge","0","normal-camp","172","155","the area reserved includes safety perimeter of 5m","","","","","","","","","","",""
"188","Lowlands, grid square S14","S14","Cosmic Portal Support Camp / Cosmic Wormhole - the other end of Cosmic Portal","Lowlands","12","normal-camp","665","450","While on our CosmonAutic journey through space we discovered that our wormhole has indeed two stable ends and you can chill out in either place. The Hexagon tent will serve for party goers as a place to enjoy a break between here and there recharging before warping forth to the next party. ","","","","","","","","","","",""
"189","Arctic chill, grid square N04","N04","Kishmastle sleeping camp","Arctic chill","62","","575","0","Kishmastle sleeping camp","","","","","","","","","","",""
"190","Downtown, grid square M21","M21","ArtistNest F33","Downtown","0","public-offering","55","0","F33 project. The ArtistNest, climb into the inner side of the artist (yours or others). Inspire or be inspired","","1","🎨 Art/Installation","","Downtown, grid square M21","","","","","",""
"197","Sanctuary, grid square K14","K14","SANCTUARY","Sanctuary","5","public-offering","1290","1000","Just a placeholder.. someone is traumatized from last year :D will detail it asap","","","","","","","","","","",""
"198","Bison - North, grid square N19","N19","Club Sin dreams","Bison - North","0","sound-camp","872","840","Club SIN offers twisted casino games, a dance floor (disco, house), juicy workshops, sinful performances, sex+ treats and afterparties, and a bar with sinful treats. But to get something from Menu of Treats, or to play at the casino, to attend workshops, afterparties, you will need sincoins.","198","1","","","","","","","","",""
"203","Highlands, grid square N10","N10","WHD camping","Highlands","40","normal-camp","662","100","Camping area for Welcome home darling","","","","","","","","","","",""
"204","The Villa, grid square K15","K15","DoET Sleepshack 101","The Villa","15","normal-camp","198","50","Sleep area for our crew","","","","","","","","","","",""
"207","Highlands, grid square N11","N11","Cheeky Butt Chill Camp","Highlands","30","public-offering","1131","100","Chill Campe that brings a combination of beduine dessert style chill and workshop area. Explore, gather and make memories!","207","1","","","","","","","","",""
"210","Swamp, grid square Q17","Q17","The Fuckery RV Camp Left","Swamp","7","normal-camp","150","0","4 RV vehicles parking ","","","","","","","","","","",""
"211","Sunny Hills, grid square I20","I20","Grogg quarters","Sunny Hills","0","other","152","100","Space for staff to hang out and for guests to eat :) ","","","","","","","","","","",""
"213","The Villa, grid square K15","K15","Hotter Dimension","The Villa","15","normal-camp","351","50","Sleeping camp for Hot Sauna crew","","","","","","","","","","",""
"215","Sunny Hills, grid square J20","J20","Grateful Grogg kitchen","Sunny Hills","0","normal-camp","154","100","Kitchen for the groggers","","","","","","","","","","",""
"222","Bison - South, grid square P24","P24","Lucifer's Pit Camping ","Bison - South","20","normal-camp","179","20","Sleeping area for Lucifers Pit camp","","","","","","","","","","",""
"227","Bison - North, grid square P21","P21","Lazy camp","Bison - North","40","normal-camp","744","0","Lazy camp kitchen, camping and living area.","","","","","","","","","","",""
"228","Bison - North, grid square P22","P22","Lazy camp - public offering","Bison - North","0","public-offering","224","225","- Chill area to hang
- Low-key bar
- Sandwiches, snacks and treats at different time of day or night.","","1","🍯 Food/Drinks","","Bison - North, grid square P22","","","","","",""
"229","Lowlands, grid square P12","P12","Spaceport Dome","Lowlands","0","public-offering","250","250","'Public' community space offering 40+ events including Yoga, Dance, Wierd stuff, famous Cabaret night Thursday.","229","1","🎪 Music/Performance/Show","","Lowlands, grid square P12","","","","","",""
"230","Lowlands, grid square P12","P12","spaceport VIP backstage","Lowlands","0","public-offering","12","12","Backstage area for props and performers etc","","","","","","","","","","",""
"231","Lowlands, grid square P13","P13","Spacespotpinkytemplefirebowl Plaza ","Lowlands","0","public-offering","328","328","Village plaza formed by Spaceport/pink Parachute/sweetspot/Temple and Firebowl","","","","","","","","","","",""
"232","Bison - North, grid square O20","O20","Sinnergirl","Bison - North","0","art","65","64","6m tall effigy, surrounded by the walls of pain, grief, hope, and joy.","232","1","","","","","","","","",""
"236","Missing Piece, grid square N14","N14","right eye","Missing Piece","0","art","1312","0","","","","","","","","","","","",""
"237","Missing Piece, grid square N15","N15","Left Eye","Missing Piece","0","art","1335","0","","","","","","","","","","","",""
"239","Missing Piece, grid square N16","N16","Mouth","Missing Piece","0","art","2320","0","","","","","","","","","","","",""
"240",", grid square Q22","Q22","2026 toilets proposal (this part is ok)","","0","other","18","18","could the Bison/Wedge toilets be on this side instead? it is good ground but has been marked out of bounds for camps. gives more space and needed distance for wedge camps. ground is flat and stable. rainwater drains out into the ditch.","","","","","","","","","","",""
"241","Wedge, grid square Q22","Q22","arrow","Wedge","0","other","16","0","pre-placement arrow shape","","","","","","","","","","",""
"243","Lowlands, grid square P13","P13","Temple of We Are Not A Cult","Lowlands","0","public-offering","30","0","Temple of We Are Not A Cult  - A Temple that in no way resembles that of a cult. ","","1","🔮 Ritual/Ceremony","","Lowlands, grid square P13","","","","","",""
"249","Downtown, grid square K19","K19","MUSEUM OF BAD ART","Downtown","0","public-offering","118","100","The worlds first museum dedicated to Bad Arts and to the artistic, aesthetic and academic persuits of the Bad Arts movement.

We hope to be in the ""living room"" in the lower floor of the barn.","249","1","","","","","","","","",""
"251","Wedge, grid square R21","R21","⚠️ Beware of Slope ⚠️","Wedge","0","other","311","233","Anyone have some slopey art ideas?","","","","","","","","","","",""
"252","Bison - North, grid square O20","O20","RA dancefloor","Bison - North","0","sound-camp","439","300","We are Sound Camp RA and will host a "" closing build week party"" on Monday. We obey the sun god RA and his fight during the night so we all get to have a new morning sunrise. We play weird ravy shit. ","252","1","","","","","","","","",""
"253","Bison - South, grid square P24","P24","Nest & Twigs","Bison - South","15","normal-camp","661","100","makers of realities of water, nature reserve, neighbours, authorities, Alversjö infrastructure, build week. Making land art located in the forest patch just behind here adjoined to our camp. ","253","","","","","","","","","",""
"255","Bison - North, grid square O22","O22","Cosmic Cloud offering and camp","Bison - North","20","sound-camp","809","200","Tuesday- Saturday: Cosmic cloud Café
Tuesday: Cosmic Fungal Frequencies sound journey
Thursday: Cosmic Day Party","","1","🎸 Party/Gathering","","Bison - North, grid square O22","","","","","",""
"256","Bison - North, grid square O21","O21","RA CAMPING","Bison - North","10","normal-camp","579","0","We are Sound Camp RA and will host a "" closing build week party"" on Monday. We obey the sun god RA and his fight during the night so we all get to have a new morning sunrise. We play weird ravy shit. ","","1","🎸 Party/Gathering","","Bison - North, grid square O21","","","","","",""
"262","Swamp, grid square R17","R17","Fuckery PlaySpace and Foyer","Swamp","0","public-offering","146","140","8x10 m PlaySpace tent connnected to a 4x6 m Entry/Foyer tent","262","","","","","","","","","",""
