"Title","Location","Category","Tags","Description"
"Forest is for rest","grid square S06. In nature reserve, beside the road leading to Far Flung Field from Missing Piece Cottage","Pampering/Care","🦍 Adults only · 🐩 Pet-friendly","Forest Is For Rest is an oasis for relaxation - open all week. Beautiful fabrics woven into the trees, hammocks, swings and art create a sanctuary of shade and relaxation. Come take a nap or connect with a friend. Sound Journey Jomo Tuesday 13.30. A kid-free quiet zone."
"Period Palace","Highlands, grid square N11. Find the palace along the road connecting the Bait Al Noor plaza to the Penta Plaza, in Highlands.","Pampering/Care","","A great place to change your tampon!  Take what you need, use the space if you want, bring your moop with you when you go. All who bleed are welcome."
"Camp Body Art","Sunny Hills, grid square G20. Go to the big lake to swim. There will be a platform below camp bunny horse bar. The board will be there","Pampering/Care","🍑 Body-positive","A sign for writing your desires out loud. Make an offer, or ask for one. A massage, a poem, a a kiss. Name a time and meet right here (or elsewhere if it rains). Then show up and wait staying present. Feel the butterflies not knowing who shows up. Maybe a knight in shining armor, maybe an experience speaking your truth and staying with it, or an occasion to hold your boundaries. Analog only. No phones."
"Ask your father anything (or tell him to fuck off)","N/A","Pampering/Care","🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly · 🚩 Triggering themes","Need a dad for a moment? Pull up a chair. Ask for advice, a hug, approval, understanding, life skills, or answers to impossible questions. Cry, laugh, rant, or just sit together.

Make an appointment (call +45 51 90 31 49) or let the playa find me."
"Buzzcuts & Coffee @ Blackwater Operations","Swamp, grid square Q18. Look for the glorious American flag flying above The Green Zone. That's Blackwater Operations. Find Dr. Bill-Bull and sit down.","Pampering/Care","","Sit down, get a buzzcut, and leave with a coffee and a war story. No appointment needed. No regrets guaranteed. Open when we feel like it. Swing by The Green Zone and see if the barber is in."
"The Outdoor spa","Sunny Hills, grid square G22. The Sunny Hills, just next to the dock by the lake.","Pampering/Care","🐒 Kid-friendly · 🍑 Body-positive · 🐩 Pet-friendly","Hot tubs by the lake! Operating hours monday - thursday 21-00 (ish!) till 00.00 (ish!)"
"Kidsville","Lowlands, grid square P09. Find us in the tent","Pampering/Care","😇 Sober · 🐒 Kid-friendly","Only at the times announced"
"⛩️ Ångström [Å]","Forest Cave, grid square L22","Pampering/Care","","A music stage built on the love for music, light and sound.
Step into Ångström and experience ambient journeys and live performances. Here, every frequency is felt, every beam of light is shaped, and every moment invites you to slow down, drift, and connect. One Ångström is the wavelength scale of visible light — a small promise to treat sound and light with the precision they deserve."
"Sauna Caravan Dream + lounge","Arctic chill, grid square P06","Pampering/Care","","Cute little sauna plus lounge with hammock and sunbathing beds, plus space for clothes"
"🤡 Clown Police HQ 🤡","Sunny Hills, grid square J20","Pampering/Care","","HQ is the small red wooden house behind the barn, by the water station — home of the Clown Police and Helm. At least one Clown is always here, day and night, also on radio. Your first point of contact for anything that isn't a medical emergency. Friendly, sober Borderlings — not rangers, just participants with hugs, answers, and direct access to emergency services."
"MortyCave","Highlands, grid square N09","Pampering/Care","","After the perfect and long party, you need a smooth transition to calm down, laugh and love and talk about your experiences to some chill music and maybe a last bit of magic to last. This is the MortyCave concept. We create the most soothing surroundings to let go of your night and go to bed."
"Sky is the Roof","Eastern Slope, grid square V15","Pampering/Care","","Our mostly Finnish camp has a large(!) communal hangout tent with comfy stuff and star projector for all"
"Sacred Reset","Highlands, grid square N10","Pampering/Care","","Offering a simple reset with sacred plants (hapé, sananga etc.) & 1:1 meditation/spaceholding."
"Camp Holy Mess","Arctic chill, grid square O07","Pampering/Care","","Camp Holy Mess is a cozy, heart-centered Borderland camp focused on connection, playfulness, creativity, and deep presence.
We value authentic relating, shared responsibility, softness, spontaneity, and collective magic.
Expect lakeside hangs, nourishing food, silly moments, meaningful conversations"
"Ponycornland","Swamp, grid square U18","Pampering/Care","","A veterinary clinic to check the health of borderlings animals."
"Foyaé Villa Hutlös","Eastern Slope, grid square V17","Pampering/Care","","Chill camp with old friends, new friends and good vibes. We offer a no bullshit peaceful villa where you can relax, connect and have good conversations.
Come by if you seek a small break from all the chaos in town- there might even be some tea, tarot, soundhealing or massage in it for you ;)"
"Aporia","Bison - South, grid square O23","Pampering/Care","","Offering introspection and exploration. Possibly a smaller outdoor gym."
"Mission-Impossible firepit","Highlands, grid square M11","Pampering/Care","","A firepit to chill around in the cold nights"
"South Bison's Sexy Pythons 🐍","Bison - South, grid square P25","Pampering/Care","","Slippery crawlers of the south Bison fields. Find us on a sunny rock. Shedding skin is the new fab.
Welcome to Sssssouth Bison'ssss Sssssexy Pythonssss 🐍🐍🐍 

Previously hidden behind the innocent name of ""Frisky's Fish Pond,"" they were actually deadly pythons all along."
"Camp YES","Eastern Slope, grid square W16","Pampering/Care","","Ice pops, support talks, daytime hangs, music, shade, dancing and somewhere in the middle of it all:
a proper wedding.

Come by if you need something cold, warm, or simply a place to exist ❤️"
"Tipi for Workshop for Camp All Senses No Sense","Eastern Slope, grid square W16","Pampering/Care","","Tipi for AA meetings and Sensual Workshops"
"Antra.world","Swamp, grid square T18","Pampering/Care","","✨ Cuddles & Jazz ✨ 

The Antra.world camp is back to bring a cozy cuddlespace and soothing, smooth Jazz concerts for all the beautiful borderlings to come and relax, hang out, cuddle and land. 

The camp members will also have their tents here as their dedicated sleeping area."
"Casa Amor","Eastern Slope, grid square W17","Pampering/Care","","A camp who believe deeply in openness, softness, connection, and community. At the heart of our camp is a shared tipi — a home where the door is always open

Offering a (moving) throne of appreciation, with care, and nurturing for tired hippies, around Borderland."
"Portal of reconnection","Forest Cave, grid square J23","Pampering/Care","","This will be a portal for people to connect to themselves and to the land amidst the chaos of the borderland"
"Piece of love","Eastern Slope, grid square U21","Pampering/Care","","Panncaces and massage. Chill vibes and low key music"
"The Oasis","Arctic chill, grid square M07","Pampering/Care","","Come by for a ceremonial grade cacao, a hang-out, sit-down or workshop in our wonderful tipi."
"Secret Spot","Highlands, grid square L10","Pampering/Care","","4 happy campers offering Concious Cosmetics testing, relaxing kundalini massages, and soulful private partner dance classes."
"The Martian","Arctic chill, grid square M05. northwestern arctic circle, look out for the techy looking lightpole and the silver van","Crafting/Arting","🦍 Adults only · 🍑 Body-positive","I support your sparkle or help with textile repairs. I can also teach you how to use a sewing machine and help yourself. Every day from 12:00 to 14:00. If I'm not there, find my number behind the windscreen."
"Socialen","Bison - South, grid square O22. Sunset Plaza","Crafting/Arting","🐩 Pet-friendly","Come for the coffee - stay for the benefits!
Our space is your space. A cosy living room where you can get caffeinated, pizza sedated and shisha vibrated. Open 25/7, 8 days a week."
"The Burrow","Lowlands, grid square U13.","Crafting/Arting","🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly","An emotionally safe space. Need to catch you breath? Have a great story to share but noone to listen? Need a a shiukder to cry on? Come as you are, sit down by the altar, see what the tarot has in store for you or take a quiet moment for yourself, anything and anyone is welcome here. Doggie cuddles from Lucy the lab is also available."
"Pussy Juice camp: Pimp My Parts","Eastern Slope, grid square W18. A playful, juicy oasis of sparkle and chaotic kitten energy","Crafting/Arting","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive","A small ritual space for fresh bodies, sparkly bits, and a moment to admire yourself."
"Galleri Ephemeralis","Eastern Slope, grid square W16.","Crafting/Arting","","Play with natural clay at this evolving, transitory art space"
"Creative Sanctuary","Downtown, grid square L18. Downstairs at the Barn","Crafting/Arting","😇 Sober · 🐒 Kid-friendly","A creative sanctuary for painting, drawing, experimenting and making. A place to create, add to something, or follow your own inspiration. Basic materials are available whenever creativity strikes, with extra magic added when I’m around. Open for visitors anytime."
"The Sweet Spot","Lowlands, grid square P13. Follow the glorious smell of pancakes into the Lowlands! You'll find us between Spaceport and Pink Parachute!","Crafting/Arting","","At this kingdom of nomnomnom you'll find warm pancakes, countless toppings, and a soft place to land. New this year: a crafting table for quiet creating or  unleashing the creative chaos gremlin inside you. New shenanigans guaranteed daily, but our chill, cozy cafe stays just the same."
"DIY Nails","Highlands, grid square N11. We're in Cheeky Butt Chill Camp in the Penta Plaza, Highlands","Crafting/Arting","","Need some polish? We got you covered! Come by and do your nails!"
"Shimmering by the Forest Edge","Arctic chill, grid square O06. In the Arctic Chill, close to Pamper Plaza, behind the camp ""Women who supports women""","Crafting/Arting","🐩 Pet-friendly","Shimmering by the Forest Edge is a low-sensory camp. Unwind under fairy lights with gentle crafting, meditation, or sound journeys. Relax by the fire, or find a dream of peace in our ""forest is for rest"" hammocks. On select evenings, gather for warm vegan chai. Everyone is welcome. A safe space."
"Queers & FLINTA* Fun","Arctic chill, grid square P06. House of Glöd","Crafting/Arting","🏳️‍🌈 Queer-inclusive","Queers & FLINTA* (women, lesbians, intersex, non-binary, trans & agender people), ready for a safer space full of care, creativity & community? Enjoy sauna, massages, make-up magic, fresh fruit, workshops and beautiful connections. Come by and let’s shine together!"
"MŸS Dome","Swamp, grid square T16. Wooden Dome, near Fire Brigade","Crafting/Arting","🐒 Kid-friendly","The MŸS Dome is a wooden structure that invites you to relax, dream, or dance, protected from the elements. A sphere like its own universe. Stretch your limbs and prick up your ears when the MŸS Crew has enchanted you with quirky vinyl sessions, downtempo DJ sets, or experimental live music featuring synths and guitars."
"Le(t)go @ Slothenhive","Lowlands, grid square Q13.","Crafting/Arting","🐒 Kid-friendly · 🐩 Pet-friendly","Come and embrace your inner child. 
We have a cozy tipi tent where you can play with bricks like back in your childhood room. 
Several different sized sets with instructions and mixed brick boxes are waiting for you. 
Perfect place to take a little break from all the BL madness. 

Accessible every day 9am - 19pm"
"The Orgone Accumulation Research Project","Bison - South, grid square P24.  Close to the tree house in Bison","Crafting/Arting","🍑 Body-positive","We're bringing Orgone back — the largest Orgone accumulation project in history! Orgone is life force, cosmic energy, described by Wilhelm Reich in the 1930s. A workshop, experiment and ritual — a trip into the muddy waters of pseudo-science, gathering life-positive energy. We build Monday and Tuesday; the rest of the week the accumulators are open for experiencing."
"The Imaginarium","Bison - South, grid square O23. Bison-South, next to Camp Juicebox. Somewhere between Socialen Public Offering and The herd","Crafting/Arting","","Borderland can bring up a variety of colourful emotions — sometimes you need a quiet place to sit with yourself and let your imagination flow. That's the Imaginarium. Draw or paint whatever's on your mind, quietly colour an elephant, add to a collaborative painting or draw a guidance card. No classes, no expectations, no spectators. Open for everyone — future adults in training under supervision, please."
"Political Post Office - Letter Writing Station","Swamp, grid square T17. Right next to the Chai Chill Chinchilla Yurt","Crafting/Arting","🐒 Kid-friendly · 🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly · 🚩 Triggering themes","A space to slow down and write. We share background on political prisoners imprisoned for resisting fascism and oppression, and invite you to write them letters of solidarity. But you can also write to friends or your (chosen) family - we collect and send all letters after Borderland."
"Ribbitcal Exclusion","Arctic chill, grid square N06. camouflaged (but well marked) nest on top of the small Arctic Chill hill","Crafting/Arting","🏳️‍🌈 Queer-inclusive","Amid all the radical inclusion, frogs bring a 12th principle: radical exclusion — a froggy sanctuary to hop off to when things become a bit too croakey. Feel, reflect, slime - or just be a tiny frog for a while. This is a retreat for people who seek a moment of rest in SOLITUDE, with a trusted amphibian+ if needed - Fluffy blankets + sensory comforts/crafts assured"
"Do you feel lucky? - Croqouis drawing kit borrowing","Sunny Hills, grid square G20. We are a small camp below the bunny horse bar close to the lake.","Crafting/Arting","🐒 Kid-friendly · 🍑 Body-positive","Drop by our camp and see if you're lucky — a croquis drawing kit might be free to borrow. Grab one, wander to the lake, and sketch the sunbathers in the afternoon light. No skill needed, just curious eyes and a willing hand. Return it when you're done so the next artist can feel lucky too."
"Front Goodies Cast","Sunny Hills, grid square I21.","Crafting/Arting","🦍 Adults only · 🍑 Body-positive · 🏳️‍🌈 Queer-inclusive · 🚩 Triggering themes","A Casting Call
Step into the spotlight and let your front goodies audition for the role they were born to play.
If you're selected (spoiler: you probably will be), you'll become the star of your very own sculptural masterpiece. An unforgettable experience where you'll be gently pampered, admired, asked to hold perfectly still, and immortalized in plaster.
A memory you'll keep forever... or at least until you decide otherwise."
"The Ember & The Earth","Sunny Hills, grid square G21","Crafting/Arting","","Ceramic alchemy at the Amber Burn. A sanctuary of clay and a ritual of fire. Transform raw earth into rainbow or structural glaze art through the magic of Raku."
"Morning Paste Society","Eastern Slope, grid square U21","Crafting/Arting","","Cosy little camp of friends offering toothpaste testing mornings (at 11 each day). Will also be making suncatchers and crepes for wandering souls needing a rest."
"Pimp Your Nails","Bison - North, grid square O20","Crafting/Arting","","Everything you need to get your nails burn-ready is right here. Grab a polish, get creative, and do it yourself whenever you want!"
"Java the Hut","Highlands, grid square M09","Crafting/Arting","","Enjoy Borderland's best thrift shop! And Java the Hut's camping grounds."
"The fuzzy creatures","Eastern Slope, grid square V17","Crafting/Arting","","We are a small camp from Belgium who will offer some chill arts and crafts on a mobile chariot. We will go around the playa with our cart to make fuzzy monster creatures. Watch out, they can bite :)."
"Hexemutters Galehus","Sunny Hills, grid square H20. Look for a grumpy old hag","Ritual/Ceremony","🦍 Adults only · 🍑 Body-positive · 🏳️‍🌈 Queer-inclusive · 🚩 Triggering themes","Hexemutters Galehus

Warning: experimental medicine cabinet. 41 remedies — yours to judge, yours to draw. Side effects include self-knowledge, mild existential crisis and uncontrollable honesty.

We are not responsible for what the cards unlock.

Open. Always open. We never sleep."
"Radical Therapist by Psych Hike","Swamp, grid square R19. On the north side of Åkerholme","Ritual/Ceremony","🦍 Adults only · 🏳️‍🌈 Queer-inclusive","Ever wondered if you should see a therapist, or what they really think of you? Explore your inner world in a quick, impactful session with fearless therapists who help you understand yourself more deeply. 

DISCLAIMER: This is not a substitute for therapy. We are not mental health professionals. If you need care, seek professional help."
"Ketunkolo, The real foxhole with actual foxes","Eastern Slope, grid square U20. Look for the foxes on top of the hill, crawl into the tunnel.","Ritual/Ceremony","🍑 Body-positive","Do you dare to Krawl into the tunnel? KetunKolo (fin. fox hole) where lost wanderers rejuvenate and foxy rituals happen. Strange, mysterious and Konfusing things happen there.  What's waiting for you in the hole?"
"The Wellness of Figging","Bison - North, grid square O19. The Wellness of Figging is hosted by the Mermaid cave at the beginning of Shameless Boulevard, right between Club SIN and Glittertind.","Ritual/Ceremony","🍑 Body-positive","The figging station returns with a new generation of treatment specialists! We've travelled far and wide to build the most holistic figging treatment to date — the most complete ginger-based treatments. Your root chakra will open, your aura will regain its colors. All with a simple insertion of ginger up your asshole. Come experience the most powerful version of the legendary figging treatment yet. Now with moxibustion."
"The Sea Witches Lair","Bison - North, grid square O19. The Sea Witches Lair can hardly be found by searching. On some rare occasion, in the deepest, darkest corners of the Mermaid cave, you might hear an invitation. It is most assuredly best to heed the call and enter.","Ritual/Ceremony","🏳️‍🌈 Queer-inclusive","If the fates so choose, you might be invited to enter the Sea Witches Lair. You never know will you receive an incantation, a curse or a divination, but your destiny will have been irrevocably changed."
"THE RECEPTION","Swamp, grid square S19. Earth Plaza","Ritual/Ceremony","😇 Sober · 🐒 Kid-friendly","THE RECEPTION is here to grant your deepest desires - provided you can pick out the correct form for that desire. Get your official bubble license. File a noise complaint. Apply for a cleansing ritual. Opening Hours are between now and sometimes during off-world business days. Your number is next."
"The Genie's Lamp","Highlands, grid square N13. The most south eastern parts of the Highlands, in Agrabah Village.","Ritual/Ceremony","🦍 Adults only · 🍑 Body-positive","The Genie's Lamp is an intimate, sensual oasis, inspired by One Thousand and One Nights—a space designed to feel like stepping inside a genie's lamp. The space will mainly be open during it's scheduled dreams & workshops, but if you drop by you might just get a private tour."
"The Storyteller","Find them in the woods.... Some say the Thieves or those who walk the moon know the way. So asking there is a good place to start...","Ritual/Ceremony","","Throughout their travels, the Storyteller has gathered innumerable stories about all manner of wondrous things. The only guarantee is that the story you will hear has never been told before and will never be told again. So look out for the Storyteller to hear a unique tale told only for you."
"The Heartspace","Arctic chill, grid square P07.","Ritual/Ceremony","😇 Sober · 🐒 Kid-friendly · 🍑 Body-positive · 🐩 Pet-friendly","♥️HEARTSPACE♥️  Disconnected and lost in the magic? We welcome you to THE HEARTSPACE – a red portal for souls longing to soften and return

Open heart meditation between 9-11 am"
"Temple of Sound","Eastern Slope, grid square V18.","Ritual/Ceremony","🦍 Adults only","Welcome once again to the Temple of Sound 🪐 Enter an ancient world of healing sounds and powerful vibrations to alter your state of consciousness and Awaken 🌌 A sacred space for breathework, sound healing and medicine music."
"White Rabbit Tea Hut","Bison - South, grid square Q23. Follow the white rabbit","Ritual/Ceremony","😇 Sober","Tiny camp offering some nice teas prepared in gong fu cha style: open only when announced."
"SinSalabim","Bison - North, grid square N19. By the Shameless Plaza","Ritual/Ceremony","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive","SIN Salabim is Club SIN's exclusive members' lounge, where indulgence meets luxury. Entry has its price, but once inside, every pleasure is free. Relax, indulge, connect and explore—because the richest rewards aren't always made of gold."
"Wild Sacred Fire","Swamp, grid square S17","Ritual/Ceremony","","Day and night, the Fire burns bright. There’s always room for more people. We’ll sing together, enjoy each other’s company, and keep warm throughout the night. There’s always room for more people at the Fire, and we have plenty of space for co-creation."
"Temple of We Are Not A Cult","Lowlands, grid square P13","Ritual/Ceremony","","Temple of We Are Not A Cult  - A Temple that in no way resembles that of a cult."
"Sakred Kink Temple","Swamp, grid square R18","Ritual/Ceremony","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 😇 Sober","Sober
18+
Sex positive
Magic workshops"
"Questicles","Highlands, grid square O11","Ritual/Ceremony","","If you play just one quest game at The Borderland, don't play ours! Questicles promises one thing: ours is the worst — frustrating, time-wasting, utterly pointless. No prize. (Okay, a sticker.) A site-wide, multi-day immersive quest / theatre project that reshapes your event. There is a curse on the Borderland. We cast it. Because we don't like you!"
"Hut of the Bubble Witch","Arctic chill, grid square N07","Ritual/Ceremony","","Formally known as the Bubble Wotch of Citrus Rains, she has now moved to a new neighborhood. Filled with synchronicity, madness and potions."
"Trancedental Forest Temple","grid square X16","Ritual/Ceremony","","Transcendental Forest Temple 🛕✨
Dreaming of your perfect hideaway from the hustle-and-bustle of Borderland. 🌀"
"The Tribe","Highlands, grid square N13","Ritual/Ceremony","","tribal jam sessions with singing and percussions
intuitive painting
tribal dance movement"
"The social experiment","Bison - North, grid square N19","Ritual/Ceremony","","Offering conversations that transform"
"Confession booth","Eastern Slope, grid square V19","Ritual/Ceremony","","Come in with a secret, leave lighter"
"Camp Valet","Downtown, grid square K20. a ""Valet Parking"" sign and white gloves.","Art/Installation","😇 Sober","Do you need your art car to reach somewhere but you don't have time? Do you have a ridden task nees completion but you're having too much fun? Did your friend arrive late from the parking lot, but you're naked in the lake dancing?
This is where we come in! full valet service. we will drive your art car where it needs to go, safely and surely."
"Golden Shower Sing-A-Long","Go towards the Golden reflections where Angels sings.","Art/Installation","🍑 Body-positive · 💥 Sensory content","It's a rolling golden shower kareoke - no funny business. Well... it is fun!"
"IT*S A SIGN!!!workshop in the Barn","Downtown, grid square K18. Follow the signs :3 downtown in the barn, downstairs north","Art/Installation","🐒 Kid-friendly · 🏳️‍🌈 Queer-inclusive","Walk into the barn any time, day or night, and make a sign for yourself or others. or order one for a random hippie to make for you. or just sit on a pillow, drink tea, and watch the art happen. cosy creative chaos, self-organising, open 24/7 from buildweek onwards ✧˖°࿐"
"We All Seek the Light","grid square J14. Follow the lämps along the trees, seek the light.","Art/Installation","💥 Sensory content","Deep in the forest, a delicate cocoon rests between the trees, neither shelter nor sculpture, but a real threshold. Those who dare to enter are not spectators nor participants, not yet anything at all."
"Boreder-land permits office","Sunny Hills, grid square K21. Left of the clown police HQ, and in the back of your mind when you're being somewhat too jolly.","Art/Installation","😇 Sober · 🐒 Kid-friendly","Are you having too much fun? Make a visit to the permits office to ensure full compliance with 137.6-c F.U.N standards on emotionally pragmatic burning. Consider signing up for our workshop, ""Leave no trace (in hearts and minds)"". Experience may vary, we apologize for any convenience or conviviality this may cause. For complaints, please howl into the void or reach out to noreply@fun.com"
"Lucifer's Pit","Downtown, grid square K19. Upstairs in the barn, around the silo, and inside the sheep barn","Art/Installation","🐒 Kid-friendly · 💥 Sensory content","An immersive satanic dreamscape in the silo featuring aerial sock-wrestling battles, crowd spectacle, and chaotic, participatory combat, among other weird shit."
